,ATMP_In_F,ATMP_In_P,ATMP_In_T,BFW_F,BFW_P,BFW_T,ECON_OUT_F,ECON_OUT_P,ECON_OUT_T,FG_2_AIRPH_Fm,FG_2_AIRPH_P,FG_2_AIRPH_T,FG_2_ECON_Fm,FG_2_ECON_P,FG_2_ECON_T,FG_2_FSH_Fm,FG_2_FSH_P,FG_2_FSH_T,FG_2_PrSH_Fm,FG_2_PrSH_P,FG_2_PrSH_T,FG_2_RH_Fm,FG_2_RH_P,FG_2_RH_T,FG_PrSH_2_Mix_Fm,FG_PrSH_2_Mix_P,FG_PrSH_2_Mix_T,FG_RH_2_Mix_Fm,FG_RH_2_Mix_P,FG_RH_2_Mix_T,FSH_In_F,FSH_In_P,FSH_In_T,H0001,P0001,POWER_GROSS,PlatenSH_IN_F,PlatenSH_IN_P,PlatenSH_IN_T,PrSH_IN_F,PrSH_IN_P,PrSH_IN_T,RHT_COLD_F,RHT_COLD_P,RHT_COLD_T,RHT_HOT_F,RHT_HOT_P,RHT_HOT_T,V0001,V0002,V0003,V0004,MS_F,MS_P,MS_T
0,22818.74357,24230930.79,864.1319657,22607.6108,25073970.53,475.2158006,22997.11575,24471663.28,517.5237662,455.1942656,100417.9167,479.1791858,458.0478605,100022.1388,696.3569029,459.0084696,99794.7418,1299.432118,75.80790057,100457.5805,1129.418821,392.7664379,99980.17951,1130.290449,61.30722448,99563.35552,779.7934215,389.9206565,100003.7666,690.1939862,20796.82836,24396496.25,786.8756357,1545.958693,24228508.69,571757978.9,22256.90583,24397905.36,804.1053076,22703.77374,24470264.97,785.7630941,20699.74988,3851254.13,586.4723411,20462.92098,3451387.899,850.9307108,0.901325607,0.899590836,0.90149472,0.900126389,22703.77374,24228508.69,868
1,23143.40044,24228740.02,869.4237788,23998.48765,25075306.09,469.1222607,23174.5566,24470889.84,535.2838287,454.8948009,99677.44285,496.005305,458.6630188,99592.70111,709.5949369,457.1506756,100612.9043,1293.96539,72.21236914,100171.1407,1133.744292,385.7333331,99662.00495,1143.676979,55.01614024,100445.6303,785.9952771,386.2199917,99560.90875,688.2381118,22675.61335,24397684.81,792.0550052,1627.886345,24232784.82,571772504.1,23316.9527,24400020.87,814.5725054,23839.01069,24471257.81,784.6262902,18944.40822,3853173.218,582.992563,21345.14222,3449963.86,847.6518215,0.900149015,0.900881489,0.899330647,0.899074851,23839.01069,24232784.82,860
2,23489.7432,24230493.56,865.8867317,24799.32849,25074051.62,470.884876,23836.52673,24470872.81,532.7844554,456.4655791,99458.58507,487.7990344,467.4454635,100399.5895,699.7646511,459.6833202,100524.6774,1302.1813,60.57220028,100633.7455,1130.173824,393.3781096,100614.7591,1131.261673,66.45189065,99534.18836,781.7962892,392.1860698,100370.8355,682.517323,24079.34175,24399384.32,789.0377167,1534.03152,24232863.79,571764410,23165.58106,24398843.6,802.479772,25244.26921,24470190.62,785.3290261,18592.0612,3851726.652,577.5110679,21665.2945,3451848.701,847.5651804,0.899705683,0.900496251,0.899289309,0.899200764,25244.26921,24232863.79,855
3,25107.0166,24230527.6,864.7695065,21703.5633,25075664.9,471.3966479,24194.27064,24468244.44,526.9385076,464.0498227,99567.49123,486.0003335,448.1424354,100953.0492,690.2703877,456.1746794,100329.4418,1298.105043,67.06727499,100038.3987,1137.875053,398.9782958,100514.9889,1135.818113,62.14103525,100564.6522,787.8468447,392.8488717,100388.8203,683.1577519,22151.33088,24399411.06,790.5121513,1849.250044,24231220.61,571743042.8,23537.4658,24398629.91,812.0763535,23305.99469,24470009.99,784.9108057,21362.83196,3852342.957,581.904976,20851.67713,3449524.952,849.1158041,0.898315778,0.90156757,0.899098048,0.899024123,23305.99469,24231220.61,860
4,22725.70033,24228041.75,865.9090095,22656.08569,25073360.05,472.28112,22300.73713,24471398.39,525.6450607,459.5415141,100871.2822,496.1925757,456.0449535,99794.11845,693.4914932,460.2361419,100052.4584,1304.351916,67.22918485,100406.8959,1131.068847,383.9622375,99974.59156,1137.877,66.68974376,99862.50488,783.9237776,399.2718697,100440.2409,680.0634328,22565.2587,24398129.04,789.0555742,1700.85085,24230235.02,571749028.6,22716.52276,24399005.16,813.6782367,22655.60189,24471558.19,788.8775031,21745.50779,3850655.046,587.2077489,20765.86104,3452071.747,845.1930756,0.897963949,0.898277203,0.900687145,0.899780317,22655.60189,24230235.02,865
5,23973.13984,24230861.89,866.0178181,22973.72165,25073878.01,465.9351825,23560.2115,24470805.96,524.6944992,455.4092331,99863.95057,489.3587735,462.5705432,100607.097,708.2416776,454.1593602,100571.5317,1298.45954,65.15971454,100320.9266,1129.052973,386.4784983,100377.0766,1139.1834,67.12869846,100388.0255,780.0518625,392.1916224,100046.1637,681.2822667,23034.14528,24401192.46,787.4209144,1667.988545,24231170.27,571745884.4,22694.28087,24397468.88,807.5895954,24159.06225,24468715.27,788.3829165,19246.0891,3851788.978,586.8041769,20139.93628,3449456.812,847.8599788,0.899621484,0.899423319,0.899817603,0.899856482,24159.06225,24231170.27,868
6,23554.22686,24230937.51,879.5215727,25206.15624,25074356.54,470.3438944,22149.67022,24470458.13,532.0239613,458.3834466,100498.892,494.6673233,456.8561528,99659.34754,698.3285819,462.3509891,99938.14917,1302.621421,67.2354428,100174.2508,1132.206394,386.8362574,100816.1003,1135.526051,61.22636128,99904.31743,783.2300846,401.2603115,100276.2593,688.3148944,24665.73036,24399283.39,791.4565956,1765.51213,24228770.34,571758385.5,20993.4868,24398472.38,809.6920654,22043.73349,24471808.17,781.940264,20796.99985,3851652.52,581.3368481,18771.08238,3448438.407,843.1077506,0.89907364,0.902282536,0.898868319,0.900773832,22043.73349,24228770.34,860
7,23417.93445,24231054.55,873.6139126,24202.49743,25075850.71,466.5171879,21400.9874,24471018.67,526.9631966,457.4864819,100251.3306,483.1666743,450.5257219,99539.98659,697.7561097,459.9042115,100689.6238,1301.604182,66.35306905,101123.0751,1126.831314,401.2466319,99555.80474,1141.23291,68.67471963,99721.58967,793.3297748,398.7602426,100119.7612,672.5312327,22583.63549,24400128.99,782.5677964,1767.109808,24231472.61,571751241.3,22576.72078,24398868.04,808.2215385,23966.02645,24470048.32,784.2451875,21235.03313,3851946.812,590.529866,20562.72888,3450013.965,844.44137,0.900001017,0.9001958,0.901223773,0.899018898,23966.02645,24231472.61,855
8,21325.26568,24228328.5,865.0464493,22586.3618,25073660.35,469.7609383,24802.75367,24472075.11,524.7107193,454.173319,100194.4369,498.7315581,457.4447783,100455.3826,694.8910178,462.8164149,99881.46956,1305.374958,70.50936433,100750.2805,1130.324813,384.2453044,100686.087,1125.216683,68.68196965,100988.315,788.4527126,392.1265121,99815.94336,696.9703901,22700.15472,24398337.38,800.9068755,1620.504781,24230078.48,571740536.8,23723.88779,24398935.84,805.3207532,23371.51277,24468389.81,776.7065596,18598.91433,3850928.41,585.7304785,17941.68192,3450099.955,843.10482,0.900262879,0.900014335,0.901559723,0.899120563,23371.51277,24230078.48,860
9,22805.53289,24231416.15,869.5719085,21666.81412,25075316.17,461.4512709,22324.57754,24470485.42,526.9279378,463.7771169,99707.61342,488.274183,452.4662506,100198.7601,701.1779965,459.5395886,100920.4382,1307.368791,59.78467267,99314.10846,1137.202449,391.753673,100636.8822,1139.801349,65.63080364,100315.2903,789.439721,392.7355612,100176.6366,685.7462016,22716.27374,24398855.11,782.7233881,1722.624687,24234166.63,571760202.5,22361.14978,24400639.18,807.5622424,22724.56463,24469413.28,780.0185679,20898.95722,3850655.737,586.0138413,22032.71382,3451154.505,842.5129493,0.90351616,0.900471077,0.899508638,0.899983086,22724.56463,24234166.63,865
10,25268.47946,23985914.6,861.085099,22983.0145,24828788.4,462.7984358,21716.25291,24224677.13,524.3343215,453.0651105,99681.07488,493.9998897,452.6438217,100568.3638,700.5971347,453.3547748,100273.9084,1298.327564,64.60524074,100183.321,1128.185298,384.5189087,100051.4779,1134.331398,70.50723451,100478.5833,783.9641677,391.5179741,100514.2061,680.7977036,22616.11318,24155430.27,780.924061,1676.04429,23990418.35,566794626,22923.2395,24155769.14,806.8521837,23237.38849,24225110.45,789.819713,18334.87115,3814076.12,579.6387102,20789.13629,3417204.049,841.7696752,0.899242897,0.899896566,0.901634748,0.898922093,23237.38849,23990418.35,868
11,23189.58429,23988222.59,872.5274847,22505.9164,24826921.73,464.8131781,22108.80185,24226411.46,524.012299,457.4368331,99277.59263,497.6452143,464.4636306,99581.38044,703.7410225,454.286952,100328.0846,1302.790711,73.36850256,99940.43489,1136.269008,394.2437614,100910.5193,1133.624596,78.33424554,99621.32964,796.7271554,391.6354948,100724.3139,691.2570009,23364.06837,24155183.47,803.0270815,1502.207092,23990963.05,566782749.2,22214.11143,24153968.59,811.0301649,22267.72941,24226424.81,792.4085093,20514.87274,3815546.864,580.3411541,20925.21384,3417433.652,844.9115206,0.900155076,0.899270973,0.901117743,0.900900257,22267.72941,23990963.05,860
12,21091.87018,23987036.61,859.5373694,23905.87103,24827370.85,472.7249751,23375.38124,24225778.25,523.6775095,460.9555648,99780.16367,483.729321,462.1176317,100780.5109,701.5870481,463.5083489,99536.26921,1306.344229,59.43578998,99508.99322,1132.637352,390.3425725,100019.3479,1139.803146,74.8886879,100619.0419,788.2098025,381.3020619,99845.63678,691.941876,24699.85447,24156913.51,789.0808565,1672.210104,23991656.36,566788945.4,22638.44053,24154066.98,806.7168703,22540.30935,24225916.17,787.3767642,20071.7443,3814780.489,587.9654977,19250.62994,3417401.437,856.9910473,0.900579566,0.898831423,0.899544463,0.899483108,22540.30935,23991656.36,855
13,21830.71391,23988263.43,873.5338592,22018.29025,24826488.97,473.8381536,22332.742,24226134.25,538.5361449,453.1150221,100188.7502,491.3552792,465.5954008,100007.3698,699.0082369,459.5117578,99975.5849,1300.128159,65.36789928,100019.5358,1137.109012,389.3415151,99919.74146,1134.128786,60.17873949,99990.33413,793.645007,387.2770299,100601.5511,686.1823453,21881.09687,24154453.78,791.1128021,1671.035201,23986925.52,566779909.7,24208.77541,24155123.23,810.5161015,23882.92703,24226510.02,793.5824256,18718.60825,3813299.009,573.1687502,19939.93705,3418709.005,848.5981415,0.900137636,0.900000462,0.89962713,0.899383253,23882.92703,23986925.52,860
